acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,Max Search Time Delta
0.599,['Coldplay'],0.5770000000000001,307880,0.7490000000000001,0,0BCPKOYdS2jbQ8iyB56Zns,0.0115,5,0.183,-7.215,0,Clocks,76,2002-08-08,0.0279,130.97,0.255,2002,517968000.0
0.00817,['The White Stripes'],0.726,231733,0.463,0,3dPQuX8Gs42Y7b454ybpMR,0.447,0,0.255,-7.8279999999999985,1,Seven Nation Army,81,2003-04-01,0.0799,123.881,0.321,2003,541641600.0
0.0846,"['Anuel AA', 'Daddy Yankee', 'KAROL G', 'J Balvin', 'Ozuna']",0.7859999999999999,301714,0.8079999999999999,0,2ksOAxtIxY8yElEWw8RhgK,0.00028900000000000003,7,0.0822,-3.702,1,China,79,2019-07-19,0.0882,105.027,0.609,2019,34214400.0
0.0693,"['The Kid LAROI', 'Machine Gun Kelly']",0.721,144860,0.632,1,0DYNL4xbYWgNzppUamtyR4,0.0,5,0.29100000000000004,-6.695,0,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",81,2020-11-06,0.0358,92.057,0.29600000000000004,2020,
0.0135,['DMX'],0.7609999999999999,217587,0.899,1,1zzxoZVylsna2BQB65Ppcb,0.0,10,0.0719,-3.09,0,X Gon' Give It To Ya,76,2007-06-12,0.183,95.027,0.6729999999999999,2007,162950400.0
0.299,['Lady Gaga'],0.5529999999999999,210200,0.502,0,2rbDhOo9Fh61Bbu23T2qCk,0.0,0,0.764,-5.972,1,Always Remember Us This Way,79,2018-10-05,0.0409,129.976,0.29600000000000004,2018,78883200.0
0.0102,['Future'],0.833,204600,0.434,1,0VgkVdmE4gld66l8iyGjgx,0.0219,2,0.165,-8.795,1,Mask Off,80,2017-06-30,0.431,150.062,0.281,2017,126230400.0
0.0301,['Niall Horan'],0.443,193090,0.5820000000000001,0,7rpNuuoMbid56XkDsx2FjE,0.0,2,0.127,-6.02,1,Black And White,79,2020-03-13,0.0482,147.589,0.239,2020,318297600.0
0.0132,['Sia'],0.521,205208,0.877,0,5id3Rqn7SPj1LX4FfY4nGz,0.0806,7,0.0929,-5.444,1,Together,79,2020-05-20,0.0683,180.007,0.199,2020,31536000.0
0.407,['Miley Cyrus'],0.53,221360,0.422,0,2vwlzO0Qp8kfEtzTsCXfyE,0.0,5,0.107,-6.2620000000000005,1,Wrecking Ball,76,2013-10-04,0.0342,119.964,0.349,2013,239241600.0
