id,acousticness,name,artists,danceability,duration_ms,energy,explicit,instrumentialness key,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo,valence,year,Sampled Times,CoveredTimes,Remix Times,Remix of ,Sample of,Cover Of
3pFONpfEqLegAj6klDDQFM,0.901,"Stürmisch in Lieb' und Tanz, Polka schnell, Op. 393","['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']",0.391,135413,0.45,0,0.379,5,0.0793,-14.744,1,30,2021-01-08,0.0587,170.232,0.609,2021,-1,-1,-1,-1,-1,-1
3pFONpfEqLegAj6klDDQFM,0.901,"Stürmisch in Lieb' und Tanz, Polka schnell, Op. 393","['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']",0.391,135413,0.45,0,0.379,5,0.0793,-14.744,1,30,2021-01-08,0.0587,170.232,0.609,2021,-1,-1,-1,-1,-1,-1
2Q6NVIPwqtosYBXQ0C00d0,0.0192,Country A$$ Shit,['Morgan Wallen'],0.619,186187,0.927,1,0,10,0.138,-3.765,1,72,2021-01-08,0.0346,137.975,0.928,2021,-1,-1,-1,-1,-1,-1
1rPAhbzCFmEKI1CwWz8L30,0.873,"Furioso-Polka, Op. 260","['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']",0.386,142320,0.602,0,0.919,11,0.0744,-13.88,1,30,2021-01-08,0.0658,167.765,0.406,2021,-1,-1,-1,-1,-1,-1
1rPAhbzCFmEKI1CwWz8L30,0.873,"Furioso-Polka, Op. 260","['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']",0.386,142320,0.602,0,0.919,11,0.0744,-13.88,1,30,2021-01-08,0.0658,167.765,0.406,2021,-1,-1,-1,-1,-1,-1
7MFuhP7p3fPQc8sYyeWL1x,0.461,Quittin’ Time,['Morgan Wallen'],0.418,224547,0.628,0,1.99E-06,5,0.186,-8.493,1,72,2021-01-08,0.0354,83.926,0.462,2021,-1,-1,-1,-1,-1,-1
2X7c8wSJD0urdk9aWzpu5D,0.169,Somethin’ Country,['Morgan Wallen'],0.6,172627,0.942,0,0,2,0.29,-4.441,1,72,2021-01-08,0.0402,145.981,0.741,2021,-1,-1,-1,-1,-1,-1
2JiapUhhbwvqJzA8WmNV4N,0.739,"Venetianer-Galopp, Op. 74","['Johann Strauss I', 'Riccardo Muti', 'Wiener Philharmoniker']",0.559,122920,0.336,0,0.248,11,0.115,-16.448,1,33,2021-01-08,0.0457,79.348,0.645,2021,-1,-1,-1,-1,-1,-1
2JiapUhhbwvqJzA8WmNV4N,0.739,"Venetianer-Galopp, Op. 74","['Johann Strauss I', 'Riccardo Muti', 'Wiener Philharmoniker']",0.559,122920,0.336,0,0.248,11,0.115,-16.448,1,33,2021-01-08,0.0457,79.348,0.645,2021,-1,-1,-1,-1,-1,-1
4FWUPPBsg82IsojhIcAP0v,0.942,"Niko-Polka, Op. 228","['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']",0.5,184413,0.339,0,0.914,7,0.111,-16.881,0,32,2021-01-08,0.0497,81.163,0.272,2021,-1,-1,-1,-1,-1,-1
4FWUPPBsg82IsojhIcAP0v,0.942,"Niko-Polka, Op. 228","['Johann Strauss II', 'Riccardo Muti', 'Wiener Philharmoniker']",0.5,184413,0.339,0,0.914,7,0.111,-16.881,0,32,2021-01-08,0.0497,81.163,0.272,2021,-1,-1,-1,-1,-1,-1
20TF5vsgFrrrQCrJ4j6LRG,0.966,hoax,['Taylor Swift'],0.661,220043,0.18,0,2.86E-06,8,0.133,-15.071,1,50,2021-01-21,0.0406,118.815,0.437,2021,-1,-1,-1,-1,-1,-1
2Qz8kpCjxulML39zB6gQxY,0.49,Still Goin Down,['Morgan Wallen'],0.58,186293,0.752,0,0,7,0.277,-5.078,1,74,2021-01-08,0.0267,148.108,0.72,2021,-1,-1,-1,-1,-1,-1
5OELUCYgOHKFAvCERnAvfS,0.615,More Than My Hometown,['Morgan Wallen'],0.62,216573,0.869,0,0,6,0.131,-5.479,1,77,2021-01-08,0.0462,126.019,0.597,2021,-1,-1,-1,-1,-1,-1
5Sc05HxzSAEKPSkwaXSmQ9,0.891,"Ohne Sorgen, Polka schnell, Op. 271","['Josef Strauss', 'Riccardo Muti', 'Wiener Philharmoniker']",0.4,113933,0.547,0,0.63,0,0.0663,-12.044,1,33,2021-01-08,0.0467,166.178,0.857,2021,-1,-1,-1,-1,-1,-1
